country,count,points,
2,Argentina,3800,86.7
3,Armenia,2,87.5
4,Australia,2329,88.6
5,Austria,3345,90.1
6,Bosnia and Herzegovina,2,86.5
7,Brazil,52,84.7
8,Bulgaria,141,87.9
9,Canada,257,89.4
10,Chile,4472,86.5
11,China,1,89
12,Croatia,73,87.2
13,Cyprus,11,87.2
14,Czech Republic,12,87.2
15,Egypt,1,84
16,England,74,91.6
17,France,22093,88.8
18,Georgia,86,87.7
19,Germany,2165,89.9
20,Greece,466,87.3
21,Hungary,146,89.2
22,India,9,90.2
23,Israel,505,88.5
24,Italy,19540,88.6
25,Lebanon,35,87.7
26,Luxembourg,6,88.7
27,Macedonia,12,86.8
28,Mexico,70,85.3
29,Moldova,59,87.2
30,Morocco,28,88.6
31,New Zealand,1419,88.3
32,Peru,16,83.6
33,Portugal,5691,88.3
34,Romania,120,86.4
35,Serbia,12,87.5
36,Slovakia,1,87
37,Slovenia,87,88.1
38,South Africa,1401,88.1
39,Spain,6645,87.3
40,Switzerland,7,88.6
41,Turkey,90,88.1
42,US,54504,88.6
43,Ukraine,14,84.1
44,Uruguay,109,86.8
